"V1","V2","V3","V4","V5","V6","V7","V8"
"Maize","-21590.4047710656","-232.656970417967","0.628369596278594","6.54880163744071","-0.000173428232971187","11.9310205027472","109510.930441748"
"Potatoes","361472.246072572","-26281.2970663612","0.056906465972797","499.014946187534","-0.00191728837116674","-3.16695469675355","27388560.8132485"
"Sweet potatoes","174523.132077934","-22889.1356673425","-0.538926875140681","443.513195467764","0.000530392235042272","62.9115936770763","22094124.5515903"
"Cassava","-318815.213678182","12826.7334238152","-2.91327803992666","-259.453684988804","0.000245160926441345","86.9141861160679","12264754.5101252"
"Sugar cane","974719.066352897","-120844.271195831","9.28597467770749","2524.88758650562","-0.00165917258815174","242.169378788027","520004852.468061"
"Pulses, nes","2621.67751312412","-266.986227923463","0.193426009904935","6.29903833524478","-0.0000268983177183954","0.18000995952626","64772.1021774635"
"Groundnuts, with shell","444.612966878373","-583.526550777021","0.352122578364543","10.986786352351","-0.000107141869610122","3.97251261265449","78498.0838846407"
"Coconuts","-63868.1033513864","4366.88076361892","5.39960031221358","-88.4983589426666","-0.00212148931674687","5.81130284573009","2990734.37101378"
"Castor oil seed","6432.55401604366","-9.59314358930473","-1.56730815431499","1.39060047456294","0.000515948850574029","-2.88885681685863","34379.3017208538"
"Cabbages and other brassicas","415067.041745957","-46535.3002785951","1.62131356552269","886.560986649733","-0.00100482912371242","102.805068437744","15070980.1545099"
"Lettuce and chicory","1115385.69866346","-60230.9588213564","93.5907993845492","1188.95875432357","-0.139836522668013","-180.376655058103","12011108.8563945"
"Tomatoes","-39588.9609659142","-12572.4182803379","-7.06752343379429","258.472620768569","0.00227746669584118","102.353722887242","25649692.1656143"
"Cauliflowers and broccoli","-277889.28052015","20205.2429301104","56.1472743138905","-416.743793659391","-0.0069184996342063","12.700669341161","4988630.46547991"
"Pumpkins, squash and gourds","1074482.47681261","-69293.8586506866","45.2509485776395","1352.23473872859","-0.0227494808765694","-98.3080329751268","10413391.801262"
"Cucumbers and gherkins","504105.074930138","-24848.9766336748","-5.54385051840759","490.248864030267","-0.00219102777292701","-86.0228577706131","14339873.5243254"
